0, -299.91789065637596
1, -298.35069829622677
2, -241.73820068303598
3, -282.92927325766414
4, -304.111134955701
5, -273.2842848066268
6, -272.9246628075416
7, -303.1907744586068
8, -291.8630282628068
9, -288.17569272219174
10, -300.81880461644215
11, -260.7224123820726
12, -265.9581492560303
13, -300.6502778817273
14, -281.25592964910686
15, -310.65838068147696
16, -270.91909218824554
17, -286.51735070244064
18, -296.62591373100724
19, -311.7876733826075
20, -263.57055768294975
21, -239.69154136586457
22, -248.4197402099346
23, -265.8714075584139
24, -294.10697719457795
25, -241.34501806919684
26, -272.3037236206926
27, -315.11574411177065
28, -297.1151267418702
29, -317.697497986521
30, -256.9364859304263
31, -291.66612620361826
32, -316.8536363694895
33, -260.32627709391664
34, -278.03743057720374
35, -301.2027321515958
36, -270.51442019409836
37, -282.252572377421
38, -296.0522328246272
39, -313.30415972730964
40, -270.56243251852646
41, -299.6785230651164
42, -306.18516061362044
43, -259.53269436082473
44, -281.8853159595507
45, -272.15060812161903
46, -294.84011151523214
47, -277.4568733085129
48, -314.1238454243986
49, -295.8804190057977
50, -285.57365134210045
51, -263.28108770980697
52, -316.52248191782354
53, -310.49126216529567
54, -277.4917716307134
55, -220.52705285475847
56, -307.154203114605
57, -294.2085340925515
58, -281.5775659447141
59, -308.4846028741804
60, -285.04990960052487
61, -332.91873431289434
62, -266.5368914604579
63, -305.15617785742893
64, -271.1968291736664
65, -266.02640538986304
66, -282.5067208722725
67, -258.32515418032926
68, -304.7841980003094
69, -311.40622363642655
70, -248.38798673175128
71, -286.27209368790614
72, -284.97810994017607
73, -272.3968024172464
74, -328.8156087574677
75, -252.37544517934785
76, -244.82861038328937
77, -261.8008977044675
78, -274.2044033988074
79, -283.392334923139
80, -295.4412417828512
81, -293.73985759350586
82, -283.9605955777265
83, -271.1488541623742
84, -261.7089518717338
85, -275.8722878014282
86, -283.0684160943193
87, -286.2283177312202
88, -300.305401232755
89, -286.36204292249977
90, -293.01066638145375
91, -271.28869569225077
92, -310.8942374908164
93, -309.09524174710714
94, -291.661724085556
95, -301.5169799467426
96, -314.7392986431642
97, -267.8420577988318
98, -293.16711213266643
99, -288.02770353764004
100, -303.77513024904044
101, -270.9216630338932
102, -201.71190174981143
103, -259.1369350019778
104, -300.33124170670857
105, -278.27443655456455
106, -315.8844428029602
107, -270.2544116088234
108, -304.72606825959514
109, -291.3011374248473
110, -272.8373702364068
111, -280.4104204963233
112, -276.44564458092367
113, -339.4059624435309
114, -293.86806181814626
115, -276.4613532749691
116, -293.91530110133147
117, -223.25029951314133
118, -258.9670700041918
119, -273.86876217811846
120, -260.15221447349813
121, -279.05760627956374
122, -269.95024332551
123, -242.8456819974276
124, -271.7628495349909
125, -236.90879110278192
126, -282.5308020756173
127, -323.25490734407117
128, -288.7335617661736
129, -305.91029498904606
130, -298.5215001861502
131, -283.49833131815825
132, -271.5577696962382
133, -292.19312435000955
134, -296.2217131544316
135, -256.3618737749078
136, -285.58995943090775
137, -291.99695262053376
138, -299.29467971744896
139, -254.05198777426537
140, -275.580067556341
141, -279.59574001196177
142, -275.66724747004895
143, -306.4855781064036
144, -261.86926046037723
145, -255.0859748693316
146, -271.60443106833094
147, -322.57873318647034
148, -311.41641115724804
149, -286.5062837406893
150, -280.52704261561496
151, -285.2810004511826
152, -303.5468609038209
153, -307.04240619329624
154, -305.76910063563747
155, -346.7696902134129
156, -269.2935987452613
157, -279.0588916640551
158, -287.89569423486074
159, -278.7729016945121
160, -320.9527611530844
161, -294.56840838094723
162, -274.1696886326184
163, -228.75797572850811
164, -310.2409602719715
165, -273.7970568402449
166, -306.8570608877214
167, -233.0665516234295
168, -269.4785655646955
169, -289.89117568442066
170, -262.2992091029433
171, -249.02918927853057
172, -290.07974026888047
173, -335.98257510456443
174, -317.1094176728205
175, -267.1760328455827
176, -253.46954887633152
177, -270.43762336275387
178, -256.79837455735174
179, -242.85806482831188
180, -297.4221782990547
181, -250.5965647989859
182, -249.5076033345915
183, -271.5930333975049
184, -250.33778327572153
185, -267.8586774195528
186, -268.6545806660769
187, -260.26375877913733
188, -241.26239807845826
189, -250.41982758776254
190, -233.4844131495114
191, -211.6307732324608
192, -293.90027013801745
193, -260.41089409609174
194, -259.07276848964983
195, -266.71145252431404
196, -294.14376846315076
197, -274.0528871842293
198, -257.8384451938433
199, -273.2738214245056
200, -280.08872142518874
201, -275.4589048603223
202, -275.55816659382066
203, -236.25177543154658
204, -222.53108237051796
205, -225.1500036510196
206, -253.8240540800377
207, -178.66808320596013
208, -271.41375476679036
209, -264.80510887889784
210, -241.628603071485
211, -212.40142768529043
212, -233.92980864368386
213, -269.08991677470976
214, -214.33236478674237
215, -237.1591319205637
216, -208.1075662841958
217, -240.33497592762907
218, -237.4002839274691
219, -245.57811546438543
220, -221.08647391789643
221, -246.08704490013363
222, -219.6294959587735
223, -226.17254395603706
224, -215.75755694407388
225, -207.74621410347703
226, -210.28509013059082
227, -211.68244910850197
228, -153.6770647240848
229, -205.54628627032395
230, -241.30643406493942
231, -199.3739814913418
232, -214.42571687465568
233, -205.21585106954794
234, -110.03456466997459
235, -199.64150289081815
236, -173.79821051253387
237, -207.15113599666043
238, -176.08938091610668
239, -185.1249130156642
240, -170.0366010356027
241, -233.8872857171576
242, -187.57168274631493
243, -174.16704512082396
244, -162.17764860463038
245, -139.4246013296406
246, -176.2493512148487
247, -218.42469464197927
248, -207.6942033996861
249, -132.72622129050788
250, -134.28794266720635
251, -209.32627427104373
252, -163.414686869285
253, -178.81050462479246
254, -145.4216301845847
